facility_name,facility_category,facility_use_code,road_address,jibun_address,longitude,latitude,data_reference_date
연세탄탄의원,의료,FU_BE,서울특별시 강서구 마곡서로 56,서울특별시 강서구 마곡동 798-4,126.82391,37.558987,2022-12-07 00:00:00.0
비원오피스텔,기타시설,FU_BA,서울특별시 강서구 공항대로 525,서울특별시 강서구 등촌동 648-6,126.86498,37.55147,2022-12-07 00:00:00.0
금강프라자빌딩,기타시설,FU_BA,서울특별시 강서구 금낭화로 135,서울특별시 강서구 방화동 829-4,126.812485,37.577503,2022-12-07 00:00:00.0
가양프라자,기타시설,FU_BA,서울특별시 강서구 허준로 198,서울특별시 강서구 가양동 1488,126.86025,37.561253,2022-12-07 00:00:00.0
강서아이엠유의원,의료,FU_BE,서울특별시 강서구 마곡중앙로 55,서울특별시 강서구 마곡동 798-11,126.82626,37.55862,2022-12-07 00:00:00.0
엠밸리서울특별시치과의원,의료,FU_BE,서울특별시 강서구 마곡중앙로 56,서울특별시 강서구 마곡동 799-5,126.82717,37.55853,2022-12-07 00:00:00.0
솔공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 마곡중앙로 33,서울특별시 강서구 마곡동 750,126.824615,37.556835,2022-12-07 00:00:00.0
미리내공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 강서로45길 29,서울특별시 강서구 화곡동 1008-26,126.83476,37.547688,2022-12-07 00:00:00.0
정곡소공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 방화대로52가길 5,서울특별시 강서구 방화동 132-39,126.81753,37.577953,2022-12-07 00:00:00.0
강서구 보건소,행정·공공서비스,FU_BG,서울특별시 강서구 공항대로 561,서울특별시 강서구 염창동 275-12,126.8683,37.549526,2022-12-07 00:00:00.0
호경빌딩,기타시설,FU_BA,서울특별시 강서구 강서로 287,서울특별시 강서구 내발산동 701-10,126.836006,37.551426,2022-12-07 00:00:00.0
